学科,学分,成绩
心理,0.5,85
高数上,6,83
计算机c,3,95
职业规划,0.5,88
PE,1,91
近代史,2,86
专业导论,1,70
英语1,3,82
电路,5,94
人质,3,85
英语2,3,86
思修,3,88
工程,3,95
pe1,1,99
高数下,3,96
物理实验,2,86
大物下,3,95
pe2,1,95
现代,3,82
概率,3,75
专业实习,0.5,82
大物上,3,73
计组,3,87
数据结构,3,91
军事理论,2,98
操作系统,3,95
java,3,98
金融学,3,90
r语言,3,99
web,3,100
马原,3,90
舞蹈,3,88
体育3,1,98
项目实训,3,90
算法,3,97
网络,3,98
毛概,3,90
编译原理,3,98
形势,1,100
英语3,3,95
